Uniqid,Category,Startdate,Starttime,Endtime,Cheetos Crunchy,Cheetos Crunchy Flamin' Hot,Cheetos Puffs,Chesters Flamin' Hot Fries,Doritos Cool Ranch,Doritos Jacked Smoky Chipotle BBQ,Doritos Nacho Cheese,Doritos Spicy Sweet Chili,Fritos Bar-B-Q,Fritos Chili Cheese,Fritos Flavor Twists Honey BBQ,Fritos The Original,Funyuns The Original,Lay's Baked Original,Lay's Barbecue,Lay's Classic,Lay's Dill Pickle,Lay's Garden Tomato and Basil,Lay's Kettle Cooked Mesquite BBQ,Lay's Kettle Cooked Original,Lay's Salt and Vinegar,Lay's Sour Cream and Onion,Lay's Sweet Southern Heat BBQ,Ruffles Cheddar and Sour Cream,Ruffles Sour Cream and Onion,Smartfood Popcorn White Cheddar,Sunchips French Onion,Sunchips Harvest Cheddar,Doritos Spicy Nacho,Comment
1381,1,9/30/13,12:14:18,12:15:55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,
1381,2,9/30/13,12:14:18,12:15:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,
1381,3,9/30/13,12:14:18,12:15:55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1381,4,9/30/13,12:14:18,12:15:55,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,
1382,1,9/30/13,13:13:09,13:16:28,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
1382,2,9/30/13,13:13:09,13:16:28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,
1382,3,9/30/13,13:13:09,13:16:28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1382,4,9/30/13,13:13:09,13:16:28,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,
1383,1,9/30/13,13:13:29,13:16:51,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
1383,2,9/30/13,13:13:29,13:16:51,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,
